"","pid","yearbuilt"
"290","10148","1910"
"291","101482","1903"
"292","101483","2006"
"293","101484","2005"
"294","101485","2007"
"295","101486","2005"
"296","101487","2005"
"297","101488","2005"
"298","101489","2005"
"299","10149","1890"
"300","101490","2005"
"301","101491","2006"
"302","1015","1875"
"303","10150","1900"
"304","101502",""
"305","10151","1906"
"306","10152","1910"
"307","10153",""
"308","10154","1910"
"309","10155","1905"
"310","10156","1900"
"311","10157","1910"
"312","10158","1905"
"313","101582",""
"314","10159","1905"
"315","1016","1900"
"316","10160","1907"
"317","101602","2004"
"318","101603","2004"
"319","10161","1905"
"320","10162","1910"
"321","10163","1910"
"322","10164","1909"
"323","101642",""
"324","10165","1910"
"325","10167","1909"
"326","10168","1910"
"327","10169","1910"
"328","1017","1920"
"329","10170","1908"
"330","101702","1900"
"331","10171","1910"
"332","10172","1900"
"333","101722","2004"
"334","101723","2004"
"335","101724","2004"
"336","101725","2004"
"337","101726","2004"
"338","10173","1907"
"339","10174","1900"
"340","10175","1910"
"341","10176","1900"
"342","101762","1977"
"343","10177","1910"
"344","10178","1908"
"345","10179","1910"
"346","1018","1930"
"347","10180","1908"
"348","10181","1900"
"349","10182","1901"
"350","101822",""
"351","10183","1910"
"352","10184","1900"
"353","101842",""
"354","10185","1906"
"355","10186","1915"
"356","10187","1910"
"357","10188","1920"
"358","10189","1914"
"359","1019","1915"
"360","10190","1910"
"361","10191","1950"
"362","10192","1952"
"363","101922","2004"
"364","10193","1950"
"365","10195","1987"
"366","10196","1987"
"367","101962",""
"368","101963",""
"369","101964",""
"370","10197","1987"
"371","10198","1987"
"372","101982",""
"373","101983",""
"374","101984",""
"375","101985",""
"376","101986",""
"377","10199","1987"
"378","102","1972"
"379","1020","1880"
"380","10200","1987"
"381","102002",""
"382","10201","1987"
"383","10202","1987"
"384","10203","1987"
"385","10204","1987"
"386","102042",""
"387","102043",""
"388","102044",""
"389","10205","1987"
"390","10206","1987"
"391","102062","2005"
"392","102063","2005"
"393","102064","2005"
"394","102065","2005"
"395","102066","2005"
"396","102067","2005"
"397","102068","2005"
"398","102069","2005"
"399","10207","1987"
"400","102070","2005"
"401","102071","2005"
"402","102072","2005"
"403","102073","2005"
"404","102074","2005"
"405","102075","2005"
"406","102076","2005"
"407","102078","2005"
"408","102079","2005"
"409","10208","1987"
"410","102080","2005"
"411","102081","2005"
"412","102082","2005"
"413","102083","2005"
"414","102084","2005"
"415","102085","2005"
"416","102086","2005"
"417","102087","2005"
"418","102088","2005"
"419","102089","2005"
"420","10209","1987"
"421","102090","2005"
"422","102091","2005"
"423","102092","2005"
"424","102093","1890"
"425","102095","1890"
"426","102096","1890"
"427","102097","1890"
"428","102098","1890"
"429","102099","1890"
"430","1021","1920"
"431","10210","1987"
"432","102100","1890"
"433","102101","1890"
"434","102102","1890"
"435","102103","1890"
"436","102104","1890"
"437","102105","1890"
"438","102106","1890"
"439","102107","1890"
"440","102108","1890"
"441","102109","1890"
"442","10211","1987"
"443","102110","1890"
"444","102111","1890"
"445","102112","1890"
"446","102113","1890"
"447","102114","1890"
"448","102115","1890"
"449","10212","1987"
"450","102123","2004"
"451","102124","2004"
"452","102125","2004"
"453","10213","1987"
"454","10214","1987"
"455","102142","2004"
"456","102143","2004"
"457","102144","2004"
"458","102145","2004"
"459","102146","1890"
"460","102147","1890"
"461","102148","1890"
"462","102149","1890"
"463","10215","1928"
"464","102150","1890"
"465","102151","1890"
"466","102152","1890"
"467","102153","1890"
"468","102154","1890"
"469","102155","1890"
"470","102156","1890"
"471","102157","1890"
"472","102158","1890"
"473","102159","1890"
"474","10216","1896"
"475","102160","1890"
"476","102161","1890"
"477","102162","1890"
"478","10217","1890"
"479","10218","1870"
"480","102182",""
"481","102183",""
"482","102185",""
"483","102186","1916"
"484","102187","1916"
"485","102188","1916"
"486","102189","1916"
"487","10219","1890"
"488","102190","1916"
"489","102191","1916"
"490","102192","1916"
"491","102193","1916"
"492","102194","1916"
"493","102195","1916"
"494","102196","1916"
"495","102197","1916"
"496","1022","1910"
"497","10220","1893"
"498","102202","1916"
"499","102203","1916"
"500","102204","1916"
"501","102205","1916"
"502","102206","1916"
"503","102207","1916"
"504","102208","1916"
"505","102209","1916"
"506","10221","1910"
"507","102210","1916"
"508","102211","1916"
"509","102212","1916"
"510","102213","1916"
"511","102214","1916"
"512","102215","1916"
"513","102216","1916"
"514","102217","1916"
"515","102218","1916"
"516","102219","1916"
"517","10222","1900"
"518","102220","1916"
"519","102221","1916"
"520","102222","1916"
"521","102223","1916"
"522","102224","1916"
"523","102225","1916"
"524","102226","1916"
"525","102227","1916"
"526","102228","1916"
"527","102229","1916"
"528","10223","1870"
"529","102230","1916"
"530","102231","1916"
"531","102232","1916"
"532","102233","1916"
"533","102234","1916"
"534","102235","1916"
"535","102236","1916"
"536","102237","1916"
"537","102238","1916"
"538","102239","1916"
"539","10224","1890"
"540","102240","1916"
"541","102241","1916"
"542","102242","1916"
"543","102243","1916"
"544","102244","1916"
"545","102245","1916"
"546","102246","1916"
"547","102247","1916"
"548","102248","1916"
"549","102249","1916"
"550","10225","1900"
"551","102250","1916"
"552","102251","1916"
"553","102252","1916"
"554","102253","1916"
"555","102254","1916"
"556","102255","1916"
"557","102256","1916"
"558","102257","1916"
"559","102258","1916"
"560","102259","1916"
"561","10226","1910"
"562","102260","1916"
"563","102261","1916"
"564","102262","1916"
"565","102263","1916"
"566","102264","1916"
"567","102265","1916"
"568","102266","1916"
"569","102267","1916"
"570","102268","1916"
"571","102269","1916"
"572","10227","1910"
"573","102270","1916"
"574","102271","1916"
"575","102272","1916"
"576","102273","1916"
"577","102274","1916"
"578","102275","1916"
"579","102276","1916"
"580","102277","1916"
"581","102278","1916"
"582","102279","1916"
"583","10228","1900"
"584","102282",""
"585","102283",""
"586","102284",""
"587","102285",""
"588","102286",""
"589","102287","2005"
"590","102288","2005"
"591","102289","2005"
"592","10229","1910"
"593","102290","2005"
"594","102291","2005"
"595","102292","2005"
"596","102293","2005"
"597","102294","2004"
"598","1023","1920"
"599","10230","1910"
"600","102302",""
"601","102303","1911"
"602","10231","1900"
"603","10232","1914"
"604","102322","1905"
"605","10233","1900"
"606","102342","2003"
"607","102343",""
"608","102344","1909"
"609","102345",""
"610","10235","1880"
"611","10236","1900"
"612","102362",""
"613","10237","1910"
"614","10238","1870"
"615","102382","1900"
"616","102383","2006"
"617","10239","1910"
"618","1024","1940"
"619","10240","1870"
"620","102402","2005"
"621","102403",""
"622","10241","1960"
"623","10242","1950"
"624","10243","1946"
"625","10244","1946"
"626","102442","2005"
"627","102443",""
"628","102444",""
"629","102446","2006"
"630","102447","2011"
"631","102448","1910"
"632","102449","1910"
"633","10245","1946"
"634","102450","1910"
"635","10246","1929"
"636","102462",""
"637","102463",""
"638","10247","1870"
"639","10248","1850"
"640","102482",""
"641","102483",""
"642","102484",""
"643","102485",""
"644","102487",""
"645","102488",""
"646","102489",""
"647","10249","1860"
"648","102490",""
"649","102491",""
"650","102492",""
"651","102493",""
"652","1025","1920"
"653","10250","1890"
"654","102502","1991"
"655","10251","1860"
"656","10252","1890"
"657","102522","1965"
"658","102523","1965"
"659","102524","1965"
"660","102525","1965"
"661","102526","1965"
"662","102527","1965"
"663","102528","1965"
"664","102529","1965"
"665","10253","1990"
"666","102530","1965"
"667","10254","1958"
"668","102542","2007"
"669","102544","1916"
"670","102545",""
"671","10255","1956"
"672","10256","1900"
"673","102562",""
"674","102563",""
"675","102564",""
"676","10257","1900"
"677","10258","1900"
"678","10259","1912"
"679","1026","1956"
"680","10260","1912"
"681","10261","1900"
"682","10262","1900"
"683","10263","1900"
"684","10264","1900"
"685","10265","1900"
"686","10266","1900"
"687","10267","1914"
"688","10268","1916"
"689","10269","1910"
"690","1027","1920"
"691","10270","1900"
"692","10271","1900"
"693","10272","1900"
"694","10273","1900"
"695","10274","1879"
"696","10275","1900"
"697","10276","1900"
"698","10277","1856"
"699","10278","1900"
"700","10279","1910"
"701","1028","1960"
"702","10280","1910"
"703","10281","1900"
"704","10282","1920"
"705","10283","1900"
"706","10284","1900"
"707","10285","1900"
"708","10286","1895"
"709","10287","1883"
"710","10288","1900"
"711","10289","1900"
"712","1029","1965"
"713","10290","1900"
"714","10291","1900"
"715","10292","1900"
"716","10293","1900"
"717","10294","1900"
"718","10295","1900"
"719","10296","1900"
"720","10297","1900"
"721","10298","1900"
"722","10299","1900"
"723","103","1966"
"724","1030","1960"
"725","10300","1900"
"726","10301","1891"
"727","10302","1950"
"728","10303","1900"
"729","10304","2013"
"730","10305",""
"731","10306","1900"
"732","10307","1916"
"733","10308","1900"
"734","10309",""
"735","1031","1910"
"736","10310","1950"
"737","10311",""
"738","10312","1920"
"739","10313","1920"
"740","10314","1920"
"741","10315","1920"
"742","10316","1910"
"743","10317","1920"
"744","10318","1900"
